"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
62.6;25.075;32.45;43.9;15.66;15.32;23.25;27.725
62.72;25.02;32.7;44.1;15.66;15.2;23.21;27.625
63.15;25.185;32.7;44.05;15.67;15.06;23.2;27.85
63.4;25.575;32.92;44.2;15.96;15.05;23.3;28.25
63.75;25.165;33.35;44.4;16.06;15.73;23.95;28.7625
63.75;25.0;33.05;44.0;16.15;15.8;24.02;28.7375
63.55;24.975;32.9;43.8;16.29;15.92;24.05;29.075
63.8;24.825;32.5;43.48;16.26;15.87;23.88;29.35
64.65;25.3;32.55;44.47;15.99;16.16;24.28;29.7375
64.1;25.46;32.35;44.45;15.85;16.12;24.41;30.2125
63.4;25.415;32.45;43.75;15.73;15.96;24.05;29.525
63.55;25.375;32.25;43.8;15.85;15.99;24.0;29.5625
63.3;25.25;32.0;44.18;15.78;15.69;23.71;29.425
64.5;25.275;31.89;44.6;15.78;15.76;23.75;29.4625
64.55;25.625;31.98;45.1;15.8;15.94;24.25;29.75
64.4;25.575;31.85;45.25;15.72;15.89;24.15;29.77
64.45;25.525;32.17;46.12;15.79;15.94;24.12;29.6625
63.75;25.4;31.9;45.95;15.9;15.96;23.87;29.5
65.18;25.975;32.1;46.6;15.99;16.3;24.48;29.8125
65.4;25.85;32.35;46.68;16.13;16.37;24.52;29.875
65.3;25.775;32.02;46.3;16.24;16.29;24.36;30.05
65.37;26.2;32.08;46.3;16.18;16.33;24.65;30.045
65.11;26.135;31.96;45.85;16.33;16.39;24.37;29.9125
65.5;25.66;33.0;45.78;16.27;16.46;24.6;29.8375
64.5;25.64;32.8;45.69;16.26;16.3;24.42;29.48
64.92;25.75;32.7;45.45;16.29;16.27;24.42;29.35
65.5;26.05;32.83;46.47;16.38;16.43;24.82;29.9625
65.35;25.85;32.97;46.79;16.28;16.34;25.12;30.2
65.4;25.75;32.83;46.61;16.41;16.32;25.35;29.9625
65.4;25.865;32.82;46.7;16.62;16.44;25.39;30.2125
64.5;25.44;32.38;46.5;16.61;16.33;24.84;30.075
64.1;25.875;32.65;46.57;16.67;16.45;25.17;29.6625
64.05;26.05;32.9;46.54;16.85;16.41;25.21;29.9
64.1;25.8;33.32;46.38;16.74;16.45;25.2;29.825
64.45;26.11;33.27;47.2;16.76;16.53;25.23;29.875
64.45;26.11;33.27;47.2;16.76;16.53;25.23;29.875
64.6;26.3;33.26;46.68;16.72;16.55;25.02;29.7
65.15;26.4;33.26;47.0;16.77;16.63;24.97;29.6625
65.15;26.35;33.2;46.43;16.8;16.57;24.85;29.625
65.3;26.46;33.15;46.75;16.86;16.64;24.9;29.79
65.3;26.46;33.15;46.75;16.86;16.64;24.9;29.79
65.8;26.66;33.75;47.72;17.26;16.71;25.17;30.25
65.4;26.525;34.39;48.27;17.07;16.79;24.61;30.075
64.95;26.375;34.65;48.0;17.06;16.75;24.18;29.75
66.6;26.3;34.7;48.5;17.03;16.74;24.06;29.875
66.9;26.45;34.57;48.25;17.12;16.77;24.03;29.6875
67.25;26.275;34.48;48.42;17.05;16.53;24.17;29.6875
66.05;25.775;33.9;48.43;16.84;16.23;23.81;29.3
65.15;25.7;33.85;49.09;16.63;16.04;23.55;28.84
65.1;25.85;33.55;48.8;16.71;16.18;23.58;28.8225
66.65;26.075;33.8;49.52;16.88;16.11;23.85;28.675
67.0;26.1;33.67;49.6;16.83;16.09;24.46;29.125
67.2;26.275;33.5;50.39;16.73;16.09;24.6;29.18
66.35;26.475;33.0;51.0;17.14;16.24;24.45;29.1875
65.05;26.06;32.68;51.2;17.03;16.2;24.23;28.9775
64.9;25.9;32.45;51.44;17.26;16.17;24.92;29.07
64.6;25.9;32.55;51.95;17.25;16.13;24.95;29.2425
64.6;25.875;32.98;52.55;17.38;16.18;24.98;29.4925
64.01;25.75;32.25;52.48;17.15;16.53;24.95;29.27
64.1;26.075;32.2;51.82;17.33;16.35;24.77;28.525
64.2;25.845;32.04;51.45;17.38;16.32;24.9;28.6375
65.1;26.2;32.33;53.23;17.77;16.59;24.47;28.6625
66.05;26.5;32.83;53.93;17.82;16.56;24.74;28.875
66.05;26.565;32.57;53.94;17.73;16.45;24.51;28.775
66.83;26.485;32.68;53.98;17.73;16.42;24.4;28.875
